Farm_ID,District,Planting_Date,Days_After_Planting,Growth_Stage,Land_Size_Acres,Seed_Variety,Soil_Type,Soil_pH,Soil_Moisture_pct,Weekly_Rainfall_mm,Avg_Temperature_C,Relative_Humidity_pct,Solar_Radiation_MJ_m2_day,Irrigation_mm_week,Fertilizer_kg_acre,Pest_Severity,Disease_Severity,Plant_Height_cm,Leaf_Greenness_Index,Predicted_Final_Yield_t_ha,Actual_Final_Yield_t_ha,Total_Water_Input_mm,Plant_Height_per_DAP,Canopy_Greenness_Volume,Biotic_Stress_Index,Planting_Month,Growth_Stage_Ordinal,Pest_Severity_Ordinal,Disease_Severity_Ordinal,District_Badulla,District_Galle,District_Kandy,District_Kegalle,District_Kurunegala,District_Matale,District_Matara,District_Monaragala,District_Nuwara Eliya,District_Ratnapura,Seed_Variety_Chinese,Seed_Variety_Local,Seed_Variety_Nadun,Soil_Type_Clay Loam,Soil_Type_Loam,Soil_Type_Sandy Loam
F0259,Matale,2025-12-09,266,Maturity,4.61,Local,Sandy Loam,6.3,32.6,46.3,22.2,83.6,24.5,10.1,85.7,Low,Low,144.1,60.3,18.42,18.28,56.4,0.5417,8689.23,0,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
F0804,Badulla,2025-11-11,180,Rhizome Initiation,3.33,Chinese,Loam,5.6,19.9,3.6,31.5,76.0,21.4,34.0,106.5,Low,Low,100.6,54.3,14.53,15.09,37.6,0.5589,5462.58,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F0734,Kurunegala,2025-09-08,215,Rhizome Development,2.55,Chinese,Clay Loam,5.4,45.2,102.3,25.3,74.6,16.8,8.4,47.7,Medium,Low,121.1,71.1,17.2,17.6,110.7,0.5633,8610.21,1,9,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
F0533,Kandy,2025-10-17,51,Early Vegetative,2.67,Nadun,Clay Loam,6.3,29.4,39.2,25.7,92.1,24.9,6.0,51.0,Medium,Low,39.3,55.4,10.54,10.24,45.2,0.7706,2177.22,1,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
F0820,Kegalle,2025-07-26,233,Rhizome Development,1.24,Chinese,Loam,5.6,46.9,100.7,27.3,77.3,23.5,36.5,32.6,Medium,Low,136.1,65.6,17.21,16.5,137.2,0.5841,8928.16,1,7,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
F0698,Kurunegala,2025-10-13,88,Early Vegetative,3.35,Chinese,Sandy Loam,5.0,36.9,85.5,20.6,82.9,13.8,29.3,92.9,Low,Low,60.1,62.9,12.42,12.81,114.8,0.683,3780.29,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
F0839,Ratnapura,2025-05-18,283,Maturity,1.85,Nadun,Sandy Loam,6.0,40.7,67.7,27.7,72.0,22.3,35.4,106.3,Medium,Medium,158.9,68.7,17.83,17.36,103.1,0.5615,10916.43,2,5,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
F0735,Kandy,2025-02-14,147,Vegetative,2.67,Local,Clay Loam,5.9,37.2,86.6,20.5,88.7,23.8,46.1,72.1,Low,Low,97.1,57.9,15.42,16.08,132.7,0.6605,5622.09,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
F0557,Ratnapura,2025-02-07,171,Rhizome Initiation,4.24,Chinese,Clay Loam,6.5,25.8,26.2,24.8,67.2,15.8,26.1,37.9,Medium,Low,112.2,60.4,13.29,13.35,52.3,0.6561,6776.88,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
F0968,Matara,2025-09-30,85,Early Vegetative,2.49,Chinese,Clay Loam,6.4,33.3,36.8,26.1,89.8,24.0,29.8,78.1,Medium,Low,67.2,64.3,10.57,10.24,66.6,0.7906,4320.96,1,9,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
F0469,Monaragala,2025-03-03,179,Rhizome Initiation,0.76,Nadun,Clay Loam,5.5,36.7,69.9,21.2,62.4,14.1,12.2,92.1,Low,Low,102.3,58.3,17.14,16.98,82.1,0.5715,5964.09,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
F0131,Galle,2025-11-20,27,Sprouting,2.29,Nadun,Sandy Loam,6.1,46.5,93.8,23.4,67.3,14.8,45.0,30.7,Low,Medium,22.4,66.6,10.73,11.3,138.8,0.8296,1491.84,1,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0018,Ratnapura,2025-08-18,219,Rhizome Development,2.32,Chinese,Loam,5.9,22.6,5.6,24.5,63.4,23.5,6.2,87.2,Low,Low,117.1,57.7,16.77,16.14,11.8,0.5347,6756.67,0,8,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
F0795,Matale,2025-06-07,60,Early Vegetative,2.55,Nadun,Clay Loam,6.8,46.4,98.9,32.6,91.3,22.8,46.7,25.8,Low,Medium,53.5,67.3,9.37,9.48,145.6,0.8917,3600.55,1,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
F0742,Nuwara Eliya,2025-11-05,211,Rhizome Development,1.9,Chinese,Sandy Loam,6.3,37.5,88.6,25.3,68.1,16.1,17.6,42.8,Low,Low,129.5,67.0,16.34,16.76,106.2,0.6137,8676.5,0,11,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
F0089,Kandy,2025-08-09,43,Early Vegetative,4.24,Nadun,Loam,5.7,28.6,37.6,21.5,69.1,19.2,26.2,47.2,Medium,Low,33.6,56.7,8.76,9.41,63.8,0.7814,1905.12,1,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
F0721,Nuwara Eliya,2025-08-15,140,Vegetative,4.32,Chinese,Sandy Loam,5.6,47.1,117.6,29.5,74.1,17.4,24.4,89.5,Low,High,97.3,65.9,14.16,14.18,142.0,0.695,6412.07,2,8,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
F0296,Galle,2025-09-18,61,Early Vegetative,0.87,Local,Sandy Loam,5.9,38.7,89.2,27.1,89.0,12.5,9.3,47.1,High,Low,48.0,66.4,10.48,9.81,98.5,0.7869,3187.2,2,9,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
F0316,Matale,2025-11-08,34,Early Vegetative,3.24,Nadun,Sandy Loam,5.8,18.5,2.2,28.8,91.4,21.4,28.0,84.1,Medium,Low,41.5,47.9,8.62,9.11,30.2,1.2206,1987.85,1,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
F0579,Kurunegala,2025-05-04,232,Rhizome Development,4.93,Chinese,Clay Loam,5.2,37.8,82.6,20.3,64.6,15.2,19.7,117.6,Low,Low,142.5,58.9,18.14,17.8,102.3,0.6142,8393.25,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
F0820,Badulla,2025-06-03,112,Vegetative,2.52,Chinese,Loam,6.5,27.9,39.2,32.2,83.5,14.6,14.3,21.0,High,Low,78.4,61.2,10.94,10.46,53.5,0.7,4798.08,2,6,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F0520,Kegalle,2025-11-26,200,Rhizome Initiation,1.36,Chinese,Clay Loam,6.0,39.9,84.6,25.7,89.5,12.4,2.9,101.6,Low,High,124.8,60.2,15.54,15.88,87.5,0.624,7512.96,2,11,3,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
F0199,Nuwara Eliya,2025-01-06,7,Sprouting,1.55,Local,Loam,6.3,46.3,119.3,26.4,78.1,19.4,34.8,103.9,Low,Low,29.5,63.0,12.38,12.03,154.1,4.2143,1858.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
F0200,Ratnapura,2025-09-11,250,Rhizome Development,2.87,Nadun,Clay Loam,5.1,36.0,55.5,32.3,70.9,23.5,26.4,55.3,Low,Low,131.4,57.4,16.33,16.7,81.9,0.5256,7542.36,0,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
F0682,Matara,2025-04-12,284,Maturity,1.41,Nadun,Loam,6.3,41.9,105.1,21.7,73.1,14.5,42.8,48.9,Medium,Low,162.7,69.8,17.6,18.4,147.9,0.5729,11356.46,1,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
F0469,Galle,2025-04-21,86,Early Vegetative,3.67,Local,Sandy Loam,5.9,26.9,41.7,29.8,93.3,19.2,48.6,80.9,Low,Medium,59.0,56.7,10.79,10.7,90.3,0.686,3345.3,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
F0219,Ratnapura,2025-06-06,100,Vegetative,2.44,Local,Sandy Loam,6.7,20.1,7.9,27.4,64.1,22.0,35.9,39.8,Low,High,62.1,47.8,9.91,9.28,43.8,0.621,2968.38,2,6,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
F0874,Matara,2025-09-12,214,Rhizome Development,3.9,Chinese,Clay Loam,5.3,39.4,88.1,32.5,76.5,17.5,31.4,116.6,Low,Low,117.0,66.8,17.93,17.33,119.5,0.5467,7815.6,0,9,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
F0926,Kegalle,2025-08-16,146,Vegetative,2.17,Chinese,Sandy Loam,5.9,26.5,19.3,31.3,82.1,14.5,28.1,81.3,Medium,Low,96.0,57.4,12.5,12.39,47.4,0.6575,5510.4,1,8,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
F0619,Monaragala,2025-11-06,21,Sprouting,3.24,Local,Clay Loam,5.5,39.3,95.0,28.8,88.7,16.4,32.4,120.0,Low,Low,26.2,66.2,11.71,11.2,127.4,1.2476,1734.44,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
F0757,Kandy,2025-12-07,266,Maturity,4.82,Chinese,Clay Loam,6.7,41.9,93.7,24.8,85.8,22.0,6.3,39.7,Low,Low,152.9,68.9,18.38,18.31,100.0,0.5748,10534.81,0,12,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
F0956,Nuwara Eliya,2025-10-27,15,Sprouting,3.97,Local,Loam,6.1,44.3,101.1,31.2,59.0,15.7,3.6,62.4,Low,Low,26.1,62.8,11.69,12.43,104.7,1.74,1639.08,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
F0998,Kandy,2025-08-31,293,Maturity,0.96,Local,Loam,5.9,36.7,57.8,20.6,79.4,18.7,43.3,101.6,Low,Low,166.4,65.5,19.3,19.21,101.1,0.5679,10899.2,0,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
F0566,Badulla,2025-02-24,226,Rhizome Development,1.27,Chinese,Clay Loam,5.9,40.7,93.9,20.8,58.5,23.4,1.3,88.5,Low,Low,122.6,62.2,17.81,17.45,95.2,0.5425,7625.72,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F0177,Matale,2025-04-24,22,Sprouting,3.72,Local,Clay Loam,5.3,37.0,87.4,28.2,59.4,21.9,0.9,61.4,Low,Medium,37.1,66.0,10.47,9.92,88.3,1.6864,2448.6,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
F0353,Kandy,2025-11-21,97,Vegetative,1.91,Chinese,Loam,5.3,23.4,29.8,20.2,71.9,19.4,9.2,30.2,Medium,Low,56.0,49.3,11.75,12.4,39.0,0.5773,2760.8,1,11,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
F0727,Kurunegala,2025-03-15,162,Rhizome Initiation,3.41,Local,Sandy Loam,5.8,34.9,56.1,33.7,58.5,15.5,32.7,92.6,Low,Low,87.3,62.1,15.56,15.2,88.8,0.5389,5421.33,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
F0343,Nuwara Eliya,2025-09-16,191,Rhizome Initiation,3.15,Nadun,Clay Loam,5.9,44.8,108.1,26.9,76.4,14.5,25.8,61.0,Low,Low,101.0,67.5,17.64,17.26,133.9,0.5288,6817.5,0,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
F0923,Ratnapura,2025-03-25,235,Rhizome Development,4.04,Nadun,Loam,5.9,20.0,12.2,29.2,86.2,15.2,18.1,106.9,Low,Medium,139.7,52.7,15.98,15.27,30.3,0.5945,7362.19,1,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
F0558,Kurunegala,2025-07-05,280,Maturity,4.71,Chinese,Loam,5.5,49.3,118.4,25.2,70.7,19.5,16.8,42.3,Medium,Medium,151.7,66.9,17.08,17.37,135.2,0.5418,10148.73,2,7,5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
F0615,Nuwara Eliya,2025-10-16,257,Rhizome Development,3.19,Local,Sandy Loam,5.1,30.4,32.0,30.9,74.7,13.5,9.5,42.4,Low,Low,138.5,55.1,16.14,16.24,41.5,0.5389,7631.35,0,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
F0377,Monaragala,2025-12-23,184,Rhizome Initiation,2.21,Nadun,Clay Loam,6.6,25.9,12.8,33.6,59.9,24.0,38.1,118.2,Low,Medium,110.0,60.5,14.73,15.09,50.9,0.5978,6655.0,1,12,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
F0073,Kurunegala,2025-03-11,112,Vegetative,4.59,Nadun,Clay Loam,6.7,38.3,57.9,25.8,64.1,13.4,45.2,95.1,Medium,Low,82.6,58.4,12.24,12.73,103.1,0.7375,4823.84,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
F0517,Monaragala,2025-04-10,266,Maturity,4.24,Local,Loam,5.7,20.3,19.7,26.8,81.4,19.4,12.2,46.7,Low,Low,141.1,56.4,16.11,15.52,31.9,0.5305,7958.04,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
F0920,Monaragala,2025-07-06,205,Rhizome Initiation,3.19,Chinese,Clay Loam,5.9,33.2,42.2,27.9,90.7,23.1,45.3,106.4,Low,High,115.0,62.0,14.24,14.05,87.5,0.561,7130.0,2,7,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
F0411,Monaragala,2025-11-06,133,Vegetative,2.07,Local,Clay Loam,5.5,30.2,45.0,21.8,89.8,23.4,37.6,21.6,Medium,Medium,87.8,55.9,11.82,12.59,82.6,0.6602,4908.02,2,11,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
F0827,Nuwara Eliya,2025-01-27,95,Vegetative,3.54,Chinese,Loam,5.5,34.4,45.7,33.0,70.5,19.3,32.6,21.9,Low,Low,57.3,65.5,11.94,11.88,78.3,0.6032,3753.15,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
F0281,Ratnapura,2025-05-18,60,Early Vegetative,3.94,Chinese,Loam,5.7,20.9,3.1,29.9,71.9,24.7,45.4,119.9,Low,Low,53.9,49.2,11.28,11.56,48.5,0.8983,2651.88,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
F0812,Matale,2025-09-19,169,Rhizome Initiation,0.92,Nadun,Sandy Loam,6.4,28.8,24.7,28.0,71.2,18.4,8.6,33.7,Low,Low,99.0,55.5,13.56,13.49,33.3,0.5858,5494.5,0,9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
F0033,Kurunegala,2025-11-13,75,Early Vegetative,1.37,Nadun,Clay Loam,6.0,50.4,107.0,28.3,82.4,14.4,19.3,65.2,Medium,Medium,47.3,70.2,11.54,11.8,126.3,0.6307,3320.46,2,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
F0408,Galle,2025-07-22,44,Early Vegetative,3.07,Nadun,Sandy Loam,6.6,37.1,76.3,29.1,73.3,21.4,49.1,85.3,Low,High,46.1,59.9,10.8,11.31,125.4,1.0477,2761.39,2,7,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0574,Kandy,2025-02-07,87,Early Vegetative,0.63,Nadun,Clay Loam,6.0,50.7,111.2,27.2,87.0,12.7,22.4,41.5,Low,Low,72.7,72.7,13.91,14.55,133.6,0.8356,5285.29,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
F0823,Matara,2025-05-02,111,Vegetative,3.68,Nadun,Sandy Loam,5.9,38.7,92.8,27.2,76.5,16.7,11.9,107.8,Low,Low,81.5,64.2,14.62,14.49,104.7,0.7342,5232.3,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
F0803,Badulla,2025-11-10,246,Rhizome Development,2.58,Chinese,Loam,5.4,20.1,6.0,31.4,76.2,17.8,20.6,26.9,Medium,Low,144.1,56.7,15.86,16.51,26.6,0.5858,8170.47,1,11,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F0832,Kurunegala,2025-05-19,22,Sprouting,2.1,Local,Loam,6.6,39.6,89.9,31.0,73.4,23.0,1.7,98.2,Low,Medium,34.9,64.0,10.62,10.5,91.6,1.5864,2233.6,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
F0930,Badulla,2025-09-05,23,Sprouting,0.65,Local,Clay Loam,6.4,44.2,111.0,31.4,61.2,23.9,48.6,67.2,Low,Low,20.9,68.7,12.46,13.2,159.6,0.9087,1435.83,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
F0234,Galle,2025-11-28,295,Maturity,2.93,Nadun,Sandy Loam,5.5,17.2,1.2,22.4,87.8,19.1,43.7,89.2,Low,Medium,172.0,50.0,16.43,16.68,44.9,0.5831,8600.0,1,11,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0453,Monaragala,2025-05-16,1,Sprouting,1.71,Nadun,Loam,6.0,45.7,102.4,25.9,63.6,23.9,38.9,63.6,Low,Low,15.1,71.2,11.9,12.62,141.3,15.1,1075.12,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
F0937,Kurunegala,2025-05-15,78,Early Vegetative,0.79,Nadun,Clay Loam,5.5,50.5,113.8,25.1,81.5,14.3,47.1,47.8,Low,Low,54.2,71.2,12.82,13.43,160.9,0.6949,3859.04,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
F0567,Nuwara Eliya,2025-05-19,185,Rhizome Initiation,0.81,Local,Loam,5.1,20.5,15.4,31.6,92.6,15.0,37.3,78.8,Medium,Low,110.5,55.3,14.18,14.02,52.7,0.5973,6110.65,1,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
F0383,Kurunegala,2025-10-28,285,Maturity,2.41,Nadun,Loam,6.6,39.1,59.0,27.7,89.2,22.1,42.0,66.1,Low,High,152.3,62.2,17.59,18.05,101.0,0.5344,9473.06,2,10,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
F0242,Matale,2025-12-18,240,Rhizome Development,4.66,Nadun,Sandy Loam,5.9,27.3,31.5,20.6,85.5,24.3,19.0,45.4,High,Low,138.6,58.2,13.79,13.08,50.5,0.5775,8066.52,2,12,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
F0248,Kandy,2025-08-15,248,Rhizome Development,4.37,Nadun,Sandy Loam,6.0,24.3,4.4,29.9,66.7,15.0,2.0,116.2,High,Low,133.6,55.0,15.32,14.95,6.4,0.5387,7348.0,2,8,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
F0119,Kegalle,2025-08-12,59,Early Vegetative,2.76,Chinese,Clay Loam,5.9,21.1,11.6,33.9,75.2,23.7,47.2,78.7,Low,Low,47.3,56.3,11.05,10.99,58.8,0.8017,2662.99,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
F0247,Galle,2025-11-25,88,Early Vegetative,1.96,Chinese,Clay Loam,6.7,41.0,73.7,29.2,83.7,13.6,39.4,67.3,Low,Low,61.5,60.5,12.71,12.02,113.1,0.6989,3720.75,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F0297,Matale,2025-10-31,47,Early Vegetative,1.34,Local,Sandy Loam,6.6,28.4,17.4,31.8,57.2,13.3,36.7,77.1,Low,Low,43.3,57.8,11.27,11.17,54.1,0.9213,2502.74,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
F0622,Kandy,2025-09-23,105,Vegetative,3.62,Nadun,Sandy Loam,5.2,22.8,21.7,32.3,71.4,13.7,11.8,55.1,Low,Low,64.0,49.8,11.55,11.63,33.5,0.6095,3187.2,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
F0535,Badulla,2025-11-24,102,Vegetative,2.55,Chinese,Loam,6.4,40.0,98.6,28.4,91.1,19.8,43.6,108.4,Low,Low,62.2,68.6,15.15,14.56,142.2,0.6098,4266.92,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F0516,Matara,2025-05-13,109,Vegetative,4.11,Chinese,Loam,6.5,39.8,59.8,33.3,70.9,15.4,7.1,46.7,Medium,Low,76.0,63.1,11.71,11.49,66.9,0.6972,4795.6,1,5,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
F0298,Nuwara Eliya,2025-04-08,233,Rhizome Development,2.48,Nadun,Loam,5.5,47.5,105.8,30.9,80.8,22.7,33.3,78.9,High,Low,138.5,67.4,16.76,16.24,139.1,0.5944,9334.9,2,4,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
F0780,Galle,2025-02-01,20,Sprouting,2.33,Chinese,Clay Loam,6.8,51.4,108.5,20.1,91.9,19.5,31.6,119.5,Low,Low,38.0,70.4,12.06,11.4,140.1,1.9,2675.2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F0020,Matale,2025-06-06,39,Early Vegetative,2.41,Local,Sandy Loam,5.4,53.2,113.1,21.8,63.2,15.9,34.5,119.1,Low,Low,37.1,72.3,13.01,13.68,147.6,0.9513,2682.33,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
F0511,Badulla,2025-10-18,57,Early Vegetative,0.58,Chinese,Sandy Loam,5.6,32.7,53.6,25.2,90.1,15.7,33.7,52.9,Medium,Low,54.6,61.5,10.33,9.77,87.3,0.9579,3357.9,1,10,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
F0508,Matale,2025-11-08,168,Rhizome Initiation,1.32,Local,Loam,6.0,36.3,57.1,25.4,77.8,18.3,16.6,87.1,Medium,High,99.5,66.4,11.49,11.54,73.7,0.5923,6606.8,3,11,3,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
F0737,Monaragala,2025-07-15,285,Maturity,1.59,Local,Clay Loam,5.8,22.9,28.7,21.3,86.1,23.7,18.5,47.5,Low,Low,158.9,58.5,18.61,18.61,47.2,0.5575,9295.65,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
F0481,Galle,2025-12-20,235,Rhizome Development,2.73,Local,Clay Loam,5.4,19.9,17.7,31.1,71.7,19.9,45.7,42.8,Medium,Low,123.1,47.4,14.07,14.69,63.4,0.5238,5834.94,1,12,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
