Farm_ID,District,Planting_Date,Days_After_Planting,Growth_Stage,Land_Size_Acres,Seed_Variety,Soil_Type,Soil_pH,Soil_Moisture_pct,Weekly_Rainfall_mm,Avg_Temperature_C,Relative_Humidity_pct,Solar_Radiation_MJ_m2_day,Irrigation_mm_week,Fertilizer_kg_acre,Pest_Severity,Disease_Severity,Plant_Height_cm,Leaf_Greenness_Index,Predicted_Final_Yield_t_ha,Actual_Final_Yield_t_ha
F0089,Kandy,2025-08-09,43,Early Vegetative,4.24,Nadun,Loam,5.7,28.6,37.6,21.5,69.1,19.2,26.2,47.2,Medium,Low,33.6,56.7,8.76,9.41
F0721,Nuwara Eliya,2025-08-15,140,Vegetative,4.32,Chinese,Sandy Loam,5.6,47.1,117.6,29.5,74.1,17.4,24.4,89.5,Low,High,97.3,65.9,14.16,14.18
F0296,Galle,2025-09-18,61,Early Vegetative,0.87,Local,Sandy Loam,5.9,38.7,89.2,27.1,89.0,12.5,9.3,47.1,High,Low,48.0,66.4,10.48,9.81
F0316,Matale,2025-11-08,34,Early Vegetative,3.24,Nadun,Sandy Loam,5.8,18.5,2.2,28.8,91.4,21.4,28.0,84.1,Medium,Low,41.5,47.9,8.62,9.11
F0579,Kurunegala,2025-05-04,232,Rhizome Development,4.93,Chinese,Clay Loam,5.2,37.8,82.6,20.3,64.6,15.2,19.7,117.6,Low,Low,142.5,58.9,18.14,17.8
F0820,Badulla,2025-06-03,112,Vegetative,2.52,Chinese,Loam,6.5,27.9,39.2,32.2,83.5,14.6,14.3,21.0,High,Low,78.4,61.2,10.94,10.46
F0520,Kegalle,2025-11-26,200,Rhizome Initiation,1.36,Chinese,Clay Loam,6.0,39.9,84.6,25.7,89.5,12.4,2.9,101.6,Low,High,124.8,60.2,15.54,15.88
F0199,Nuwara Eliya,2025-01-06,7,Sprouting,1.55,Local,Loam,6.3,46.3,119.3,26.4,78.1,19.4,34.8,103.9,Low,Low,29.5,63.0,12.38,12.03
F0200,Ratnapura,2025-09-11,250,Rhizome Development,2.87,Nadun,Clay Loam,5.1,36.0,55.5,32.3,70.9,23.5,26.4,55.3,Low,Low,131.4,57.4,16.33,16.7
F0682,Matara,2025-04-12,284,Maturity,1.41,Nadun,Loam,6.3,41.9,105.1,21.7,73.1,14.5,42.8,48.9,Medium,Low,162.7,69.8,17.6,18.4
F0469,Galle,2025-04-21,86,Early Vegetative,3.67,Local,Sandy Loam,5.9,26.9,41.7,29.8,93.3,19.2,48.6,80.9,Low,Medium,59.0,56.7,10.79,10.7
F0219,Ratnapura,2025-06-06,100,Vegetative,2.44,Local,Sandy Loam,6.7,20.1,7.9,27.4,64.1,22.0,35.9,39.8,Low,High,62.1,47.8,9.91,9.28
F0874,Matara,2025-09-12,214,Rhizome Development,3.9,Chinese,Clay Loam,5.3,39.4,88.1,32.5,76.5,17.5,31.4,116.6,Low,Low,117.0,66.8,17.93,17.33
F0926,Kegalle,2025-08-16,146,Vegetative,2.17,Chinese,Sandy Loam,5.9,26.5,19.3,31.3,82.1,14.5,28.1,81.3,Medium,Low,96.0,57.4,12.5,12.39
F0619,Monaragala,2025-11-06,21,Sprouting,3.24,Local,Clay Loam,5.5,39.3,95.0,28.8,88.7,16.4,32.4,120.0,Low,Low,26.2,66.2,11.71,11.2
F0757,Kandy,2025-12-07,266,Maturity,4.82,Chinese,Clay Loam,6.7,41.9,93.7,24.8,85.8,22.0,6.3,39.7,Low,Low,152.9,68.9,18.38,18.31
F0956,Nuwara Eliya,2025-10-27,15,Sprouting,3.97,Local,Loam,6.1,44.3,101.1,31.2,59.0,15.7,3.6,62.4,Low,Low,26.1,62.8,11.69,12.43
F0998,Kandy,2025-08-31,293,Maturity,0.96,Local,Loam,5.9,36.7,57.8,20.6,79.4,18.7,43.3,101.6,Low,Low,166.4,65.5,19.3,19.21
F0566,Badulla,2025-02-24,226,Rhizome Development,1.27,Chinese,Clay Loam,5.9,40.7,93.9,20.8,58.5,23.4,1.3,88.5,Low,Low,122.6,62.2,17.81,17.45
F0177,Matale,2025-04-24,22,Sprouting,3.72,Local,Clay Loam,5.3,37.0,87.4,28.2,59.4,21.9,0.9,61.4,Low,Medium,37.1,66.0,10.47,9.92
F0353,Kandy,2025-11-21,97,Vegetative,1.91,Chinese,Loam,5.3,23.4,29.8,20.2,71.9,19.4,9.2,30.2,Medium,Low,56.0,49.3,11.75,12.4
F0727,Kurunegala,2025-03-15,162,Rhizome Initiation,3.41,Local,Sandy Loam,5.8,34.9,56.1,33.7,58.5,15.5,32.7,92.6,Low,Low,87.3,62.1,15.56,15.2
F0343,Nuwara Eliya,2025-09-16,191,Rhizome Initiation,3.15,Nadun,Clay Loam,5.9,44.8,108.1,26.9,76.4,14.5,25.8,61.0,Low,Low,101.0,67.5,17.64,17.26
F0923,Ratnapura,2025-03-25,235,Rhizome Development,4.04,Nadun,Loam,5.9,20.0,12.2,29.2,86.2,15.2,18.1,106.9,Low,Medium,139.7,52.7,15.98,15.27
F0558,Kurunegala,2025-07-05,280,Maturity,4.71,Chinese,Loam,5.5,49.3,118.4,25.2,70.7,19.5,16.8,42.3,Medium,Medium,151.7,66.9,17.08,17.37
F0615,Nuwara Eliya,2025-10-16,257,Rhizome Development,3.19,Local,Sandy Loam,5.1,30.4,32.0,30.9,74.7,13.5,9.5,42.4,Low,Low,138.5,55.1,16.14,16.24
F0377,Monaragala,2025-12-23,184,Rhizome Initiation,2.21,Nadun,Clay Loam,6.6,25.9,12.8,33.6,59.9,24.0,38.1,118.2,Low,Medium,110.0,60.5,14.73,15.09
F0073,Kurunegala,2025-03-11,112,Vegetative,4.59,Nadun,Clay Loam,6.7,38.3,57.9,25.8,64.1,13.4,45.2,95.1,Medium,Low,82.6,58.4,12.24,12.73
F0517,Monaragala,2025-04-10,266,Maturity,4.24,Local,Loam,5.7,20.3,19.7,26.8,81.4,19.4,12.2,46.7,Low,Low,141.1,56.4,16.11,15.52
F0920,Monaragala,2025-07-06,205,Rhizome Initiation,3.19,Chinese,Clay Loam,5.9,33.2,42.2,27.9,90.7,23.1,45.3,106.4,Low,High,115.0,62.0,14.24,14.05
F0411,Monaragala,2025-11-06,133,Vegetative,2.07,Local,Clay Loam,5.5,30.2,45.0,21.8,89.8,23.4,37.6,21.6,Medium,Medium,87.8,55.9,11.82,12.59
F0827,Nuwara Eliya,2025-01-27,95,Vegetative,3.54,Chinese,Loam,5.5,34.4,45.7,33.0,70.5,19.3,32.6,21.9,Low,Low,57.3,65.5,11.94,11.88
F0281,Ratnapura,2025-05-18,60,Early Vegetative,3.94,Chinese,Loam,5.7,20.9,3.1,29.9,71.9,24.7,45.4,119.9,Low,Low,53.9,49.2,11.28,11.56
F0812,Matale,2025-09-19,169,Rhizome Initiation,0.92,Nadun,Sandy Loam,6.4,28.8,24.7,28.0,71.2,18.4,8.6,33.7,Low,Low,99.0,55.5,13.56,13.49
F0033,Kurunegala,2025-11-13,75,Early Vegetative,1.37,Nadun,Clay Loam,6.0,50.4,107.0,28.3,82.4,14.4,19.3,65.2,Medium,Medium,47.3,70.2,11.54,11.8
F0408,Galle,2025-07-22,44,Early Vegetative,3.07,Nadun,Sandy Loam,6.6,37.1,76.3,29.1,73.3,21.4,49.1,85.3,Low,High,46.1,59.9,10.8,11.31
F0574,Kandy,2025-02-07,87,Early Vegetative,0.63,Nadun,Clay Loam,6.0,50.7,111.2,27.2,87.0,12.7,22.4,41.5,Low,Low,72.7,72.7,13.91,14.55
F0823,Matara,2025-05-02,111,Vegetative,3.68,Nadun,Sandy Loam,5.9,38.7,92.8,27.2,76.5,16.7,11.9,107.8,Low,Low,81.5,64.2,14.62,14.49
F0803,Badulla,2025-11-10,246,Rhizome Development,2.58,Chinese,Loam,5.4,20.1,6.0,31.4,76.2,17.8,20.6,26.9,Medium,Low,144.1,56.7,15.86,16.51
F0832,Kurunegala,2025-05-19,22,Sprouting,2.1,Local,Loam,6.6,39.6,89.9,31.0,73.4,23.0,1.7,98.2,Low,Medium,34.9,64.0,10.62,10.5
F0930,Badulla,2025-09-05,23,Sprouting,0.65,Local,Clay Loam,6.4,44.2,111.0,31.4,61.2,23.9,48.6,67.2,Low,Low,20.9,68.7,12.46,13.2
F0234,Galle,2025-11-28,295,Maturity,2.93,Nadun,Sandy Loam,5.5,17.2,1.2,22.4,87.8,19.1,43.7,89.2,Low,Medium,172.0,50.0,16.43,16.68
F0453,Monaragala,2025-05-16,1,Sprouting,1.71,Nadun,Loam,6.0,45.7,102.4,25.9,63.6,23.9,38.9,63.6,Low,Low,15.1,71.2,11.9,12.62
F0937,Kurunegala,2025-05-15,78,Early Vegetative,0.79,Nadun,Clay Loam,5.5,50.5,113.8,25.1,81.5,14.3,47.1,47.8,Low,Low,54.2,71.2,12.82,13.43
F0567,Nuwara Eliya,2025-05-19,185,Rhizome Initiation,0.81,Local,Loam,5.1,20.5,15.4,31.6,92.6,15.0,37.3,78.8,Medium,Low,110.5,55.3,14.18,14.02
F0383,Kurunegala,2025-10-28,285,Maturity,2.41,Nadun,Loam,6.6,39.1,59.0,27.7,89.2,22.1,42.0,66.1,Low,High,152.3,62.2,17.59,18.05
F0242,Matale,2025-12-18,240,Rhizome Development,4.66,Nadun,Sandy Loam,5.9,27.3,31.5,20.6,85.5,24.3,19.0,45.4,High,Low,138.6,58.2,13.79,13.08
F0248,Kandy,2025-08-15,248,Rhizome Development,4.37,Nadun,Sandy Loam,6.0,24.3,4.4,29.9,66.7,15.0,2.0,116.2,High,Low,133.6,55.0,15.32,14.95
F0119,Kegalle,2025-08-12,59,Early Vegetative,2.76,Chinese,Clay Loam,5.9,21.1,11.6,33.9,75.2,23.7,47.2,78.7,Low,Low,47.3,56.3,11.05,10.99
F0247,Galle,2025-11-25,88,Early Vegetative,1.96,Chinese,Clay Loam,6.7,41.0,73.7,29.2,83.7,13.6,39.4,67.3,Low,Low,61.5,60.5,12.71,12.02
F0297,Matale,2025-10-31,47,Early Vegetative,1.34,Local,Sandy Loam,6.6,28.4,17.4,31.8,57.2,13.3,36.7,77.1,Low,Low,43.3,57.8,11.27,11.17
F0622,Kandy,2025-09-23,105,Vegetative,3.62,Nadun,Sandy Loam,5.2,22.8,21.7,32.3,71.4,13.7,11.8,55.1,Low,Low,64.0,49.8,11.55,11.63
F0535,Badulla,2025-11-24,102,Vegetative,2.55,Chinese,Loam,6.4,40.0,98.6,28.4,91.1,19.8,43.6,108.4,Low,Low,62.2,68.6,15.15,14.56
F0516,Matara,2025-05-13,109,Vegetative,4.11,Chinese,Loam,6.5,39.8,59.8,33.3,70.9,15.4,7.1,46.7,Medium,Low,76.0,63.1,11.71,11.49
F0298,Nuwara Eliya,2025-04-08,233,Rhizome Development,2.48,Nadun,Loam,5.5,47.5,105.8,30.9,80.8,22.7,33.3,78.9,High,Low,138.5,67.4,16.76,16.24
F0780,Galle,2025-02-01,20,Sprouting,2.33,Chinese,Clay Loam,6.8,51.4,108.5,20.1,91.9,19.5,31.6,119.5,Low,Low,38.0,70.4,12.06,11.4
F0020,Matale,2025-06-06,39,Early Vegetative,2.41,Local,Sandy Loam,5.4,53.2,113.1,21.8,63.2,15.9,34.5,119.1,Low,Low,37.1,72.3,13.01,13.68
F0511,Badulla,2025-10-18,57,Early Vegetative,0.58,Chinese,Sandy Loam,5.6,32.7,53.6,25.2,90.1,15.7,33.7,52.9,Medium,Low,54.6,61.5,10.33,9.77
F0508,Matale,2025-11-08,168,Rhizome Initiation,1.32,Local,Loam,6.0,36.3,57.1,25.4,77.8,18.3,16.6,87.1,Medium,High,99.5,66.4,11.49,11.54
F0737,Monaragala,2025-07-15,285,Maturity,1.59,Local,Clay Loam,5.8,22.9,28.7,21.3,86.1,23.7,18.5,47.5,Low,Low,158.9,58.5,18.61,18.61
F0481,Galle,2025-12-20,235,Rhizome Development,2.73,Local,Clay Loam,5.4,19.9,17.7,31.1,71.7,19.9,45.7,42.8,Medium,Low,123.1,47.4,14.07,14.69
F0559,Matale,2025-08-16,69,Early Vegetative,1.23,Local,Loam,5.3,35.4,45.1,27.1,56.8,14.4,21.7,86.4,Low,Low,53.2,58.7,11.38,11.35
F0718,Kandy,2025-07-04,215,Rhizome Development,3.96,Nadun,Sandy Loam,5.4,30.2,58.3,29.7,55.4,15.7,18.9,35.5,Low,Medium,128.2,61.0,14.78,15.39
F0766,Ratnapura,2025-06-11,297,Maturity,4.28,Chinese,Loam,5.9,49.5,117.2,24.8,73.4,19.9,27.1,68.4,Low,Low,170.8,69.2,21.03,21.67
F0141,Kegalle,2025-01-26,32,Early Vegetative,4.38,Chinese,Sandy Loam,6.6,49.6,115.0,24.9,56.1,20.2,22.4,112.3,Low,Medium,25.7,72.4,12.78,13.42
F0710,Nuwara Eliya,2025-01-13,101,Vegetative,1.16,Nadun,Sandy Loam,6.4,19.7,8.9,21.4,85.2,23.8,48.2,109.9,High,Medium,57.6,49.4,9.15,9.66
F0902,Badulla,2025-03-02,273,Maturity,4.0,Chinese,Clay Loam,5.6,19.0,14.0,33.0,70.2,24.9,30.5,74.9,Low,Low,159.6,53.1,17.94,18.67
F0964,Ratnapura,2025-08-12,145,Vegetative,3.18,Local,Loam,6.3,27.1,21.4,31.2,89.4,12.1,24.6,81.6,Medium,Low,93.0,60.0,13.64,13.19
F0009,Kurunegala,2025-04-08,235,Rhizome Development,1.94,Nadun,Sandy Loam,5.9,26.1,15.4,26.3,72.4,13.6,10.4,108.4,Medium,Low,126.0,58.8,16.51,16.86
F0364,Kegalle,2025-06-11,282,Maturity,2.39,Nadun,Sandy Loam,6.0,32.3,65.4,26.9,72.3,19.3,9.6,32.8,Low,Low,152.2,56.5,18.39,17.85
F0974,Monaragala,2025-06-03,245,Rhizome Development,1.18,Nadun,Sandy Loam,5.1,24.0,30.1,26.3,83.1,18.6,30.3,21.0,Low,Medium,140.9,49.8,14.88,15.57
F0804,Badulla,2025-10-24,102,Vegetative,4.65,Chinese,Sandy Loam,5.9,26.3,36.7,26.7,61.7,20.9,48.4,33.5,Low,Low,78.9,60.8,11.62,10.84
F0138,Monaragala,2025-12-21,180,Rhizome Initiation,0.76,Chinese,Clay Loam,6.4,32.0,39.8,23.1,57.5,16.3,21.8,32.5,Low,Low,110.3,60.3,15.11,15.7
F0721,Badulla,2025-05-17,110,Vegetative,3.14,Nadun,Clay Loam,5.4,36.7,69.1,21.8,89.0,22.0,4.2,76.4,Low,Low,73.8,66.6,13.55,14.31
F0716,Ratnapura,2025-07-22,133,Vegetative,0.77,Nadun,Sandy Loam,6.2,45.1,116.3,22.6,84.8,15.9,25.4,92.6,Medium,High,96.2,71.8,13.13,13.79
F0482,Badulla,2025-07-10,82,Early Vegetative,1.05,Local,Loam,6.6,32.8,50.5,28.8,88.0,24.7,16.4,73.2,Low,Low,50.9,54.8,12.89,12.7
F0755,Matara,2025-09-14,238,Rhizome Development,0.73,Chinese,Loam,5.9,21.7,21.5,25.1,84.5,13.1,8.3,74.6,Low,Low,142.0,57.8,15.79,15.31
F0464,Nuwara Eliya,2025-03-10,270,Maturity,2.48,Nadun,Sandy Loam,5.7,28.4,24.7,20.6,57.6,20.3,47.7,30.4,Low,Low,162.6,58.2,17.9,17.99
F0476,Kurunegala,2025-01-18,267,Maturity,1.2,Chinese,Loam,5.1,27.7,19.5,34.0,83.6,18.9,19.3,27.0,Medium,Low,147.7,56.7,15.45,15.81
F0121,Matara,2025-03-21,55,Early Vegetative,1.14,Chinese,Loam,5.5,40.0,84.1,32.8,78.2,23.4,49.4,117.1,Low,Medium,57.0,66.9,13.04,12.39
F0556,Matara,2025-08-27,161,Rhizome Initiation,3.3,Nadun,Clay Loam,5.6,27.1,41.8,23.9,73.2,13.4,45.8,109.3,Low,Low,92.9,60.2,15.89,15.46
F0100,Monaragala,2025-03-13,183,Rhizome Initiation,4.61,Chinese,Clay Loam,6.5,38.5,77.7,29.2,85.7,18.6,25.2,61.7,Low,Low,112.5,62.8,15.29,15.98
F0515,Matara,2025-02-07,31,Early Vegetative,3.6,Chinese,Sandy Loam,5.9,54.2,117.4,28.1,60.8,13.9,27.7,117.4,Medium,Medium,42.1,76.1,12.04,11.94
F0641,Kurunegala,2025-11-20,175,Rhizome Initiation,4.3,Local,Sandy Loam,5.3,42.6,78.8,27.9,73.3,12.3,27.0,40.8,High,Low,113.4,65.9,12.64,12.99
F0141,Ratnapura,2025-04-05,99,Vegetative,4.89,Nadun,Sandy Loam,5.8,33.3,60.3,32.2,91.1,12.6,16.9,87.0,Low,Low,58.6,55.3,12.84,13.51
F0030,Monaragala,2025-03-06,300,Maturity,4.17,Chinese,Sandy Loam,5.7,34.5,46.9,32.9,89.2,13.8,30.3,25.3,Low,Medium,172.9,55.9,16.35,17.08
F0459,Galle,2025-04-07,28,Sprouting,4.35,Local,Clay Loam,5.6,42.2,85.6,32.3,61.0,21.3,47.4,57.0,Low,Medium,38.6,69.1,9.49,8.81
F0003,Ratnapura,2025-02-17,35,Early Vegetative,0.97,Nadun,Loam,6.7,39.8,76.6,22.0,73.4,21.2,20.7,26.8,Low,Low,25.5,64.9,9.42,9.45
F0624,Ratnapura,2025-04-18,247,Rhizome Development,1.02,Local,Clay Loam,6.5,47.2,97.1,29.4,83.2,23.9,28.2,75.5,Low,Low,139.6,63.7,17.66,17.02
F0260,Monaragala,2025-03-01,194,Rhizome Initiation,1.41,Chinese,Loam,5.9,32.9,69.3,29.8,86.7,23.3,4.3,71.5,Medium,Low,112.7,63.2,15.76,16.23
F0182,Badulla,2025-02-04,206,Rhizome Initiation,2.93,Nadun,Loam,6.8,29.2,29.2,30.4,70.6,20.2,5.0,116.8,High,High,109.2,61.1,11.46,11.5
F0881,Kegalle,2025-05-08,228,Rhizome Development,3.2,Chinese,Sandy Loam,5.6,50.1,107.1,31.0,72.9,21.4,3.8,60.5,Low,Low,134.2,68.4,17.36,16.93
F0732,Kandy,2025-12-11,197,Rhizome Initiation,3.34,Chinese,Sandy Loam,5.2,44.8,91.2,23.1,89.4,19.4,35.3,103.3,Medium,Low,115.3,69.8,14.8,15.52
F0698,Matale,2025-10-22,222,Rhizome Development,4.3,Chinese,Sandy Loam,6.8,22.5,24.8,28.9,55.1,16.9,21.3,35.5,Medium,Low,140.4,57.5,14.26,14.98
F0788,Badulla,2025-08-31,177,Rhizome Initiation,4.81,Local,Clay Loam,6.3,38.1,76.7,23.5,73.9,23.2,7.8,92.2,Low,Low,95.7,67.0,16.55,15.85
F0516,Kegalle,2025-10-16,62,Early Vegetative,2.24,Chinese,Sandy Loam,5.4,34.3,50.8,33.0,57.8,20.6,25.6,67.0,Low,Low,53.5,63.5,12.68,13.47
F0369,Galle,2025-12-18,188,Rhizome Initiation,3.71,Nadun,Clay Loam,5.7,30.2,51.6,25.3,73.6,13.9,4.5,70.8,Low,Low,110.3,59.6,16.67,17.29
F0694,Kegalle,2025-05-05,53,Early Vegetative,4.88,Local,Loam,5.1,26.7,41.7,33.4,80.3,24.2,12.7,55.2,High,Low,39.1,55.8,7.65,8.17
F0355,Matara,2025-10-21,37,Early Vegetative,2.59,Nadun,Clay Loam,6.4,27.4,18.8,25.0,80.7,20.2,23.3,40.2,High,High,43.9,55.1,6.14,6.27
F0474,Galle,2025-05-29,128,Vegetative,3.11,Nadun,Clay Loam,5.1,40.1,70.8,20.5,90.1,13.6,20.7,80.4,Low,Medium,92.7,67.8,13.65,12.87
F0522,Matara,2025-05-04,226,Rhizome Development,4.43,Local,Clay Loam,6.8,46.0,112.8,33.2,75.7,12.1,23.4,32.9,Medium,Low,129.6,69.8,15.24,15.28
F0363,Kegalle,2025-06-24,41,Early Vegetative,3.32,Nadun,Sandy Loam,6.4,44.6,86.2,27.8,67.5,16.6,39.4,44.6,Low,Medium,43.1,64.1,9.73,10.48
F0044,Kandy,2025-07-24,175,Rhizome Initiation,2.12,Chinese,Sandy Loam,5.9,36.0,69.4,22.4,74.2,23.7,6.5,40.6,Low,Medium,116.6,58.1,15.08,15.5
F0060,Badulla,2025-10-10,254,Rhizome Development,0.7,Nadun,Clay Loam,5.4,37.5,79.1,21.1,77.3,13.5,1.2,25.3,Medium,Low,138.5,64.1,16.97,16.26
F0283,Kandy,2025-08-21,16,Sprouting,3.22,Chinese,Loam,5.2,30.4,60.2,24.9,63.8,22.3,47.5,88.9,Low,Low,16.2,55.1,9.85,10.48
F0307,Ratnapura,2025-10-07,115,Vegetative,1.94,Local,Loam,6.0,23.9,29.3,27.9,88.0,24.8,0.1,33.3,Medium,High,70.6,58.0,10.08,10.0
F0848,Galle,2025-02-09,276,Maturity,4.53,Chinese,Clay Loam,6.4,31.3,31.6,21.6,90.2,15.3,9.3,44.4,Medium,High,151.9,61.8,14.08,14.77
F0158,Galle,2025-10-07,173,Rhizome Initiation,2.26,Chinese,Loam,5.8,17.2,1.7,31.0,61.4,12.8,31.1,90.4,Medium,Low,113.3,54.7,12.71,11.92
F0142,Kegalle,2025-02-25,179,Rhizome Initiation,4.86,Local,Loam,5.1,25.8,28.0,25.5,66.6,20.1,30.5,63.4,Medium,High,113.2,54.4,11.04,11.54
F0780,Galle,2025-11-20,286,Maturity,4.89,Nadun,Sandy Loam,5.4,38.5,77.3,30.5,57.3,22.6,5.9,79.8,Medium,Low,156.8,61.0,17.35,17.19
F0127,Galle,2025-10-20,278,Maturity,2.38,Nadun,Loam,5.1,29.2,54.9,21.1,56.8,13.4,16.9,78.5,Medium,Low,158.3,56.4,17.76,18.42
F0891,Monaragala,2025-10-25,206,Rhizome Initiation,4.11,Nadun,Loam,6.0,17.7,8.1,31.2,59.9,14.0,0.2,80.1,Low,Medium,128.9,45.7,15.3,16.06
F0053,Nuwara Eliya,2025-12-16,217,Rhizome Development,0.53,Nadun,Clay Loam,5.2,27.7,44.2,22.9,90.3,14.1,0.6,99.5,Medium,Low,131.0,56.9,14.24,13.51
F0793,Monaragala,2025-06-20,108,Vegetative,3.4,Chinese,Sandy Loam,6.3,28.4,41.7,30.3,76.0,17.8,33.1,116.6,High,Low,72.4,58.5,12.08,11.45
F0635,Badulla,2025-05-30,58,Early Vegetative,1.55,Chinese,Loam,6.7,37.7,69.8,22.9,87.4,15.0,22.3,52.0,High,Low,36.7,60.8,8.19,8.66
F0024,Monaragala,2025-03-29,126,Vegetative,4.74,Local,Clay Loam,5.1,31.5,34.5,26.5,91.3,16.0,11.6,106.7,Low,Medium,73.2,57.4,11.57,12.37
